catalog_id,city,cache_file,daily_points,daily_sum_failures,monthly_sum_failures
prefecture-aksu-prefecture,阿克苏地区,prefecture-aksu-prefecture.json,365,0,0
prefecture-altay-prefecture,阿勒泰地区,prefecture-altay-prefecture_47.1002_88.4342.json,365,0,0
prefecture-alxa-league,阿拉善盟,prefecture-alxa-league.json,365,0,0
prefecture-ankang,安康市,prefecture-ankang.json,365,0,0
prefecture-anqing,安庆市,prefecture-anqing.json,365,0,0
prefecture-anshan,鞍山市,prefecture-anshan.json,365,0,0
prefecture-anshun,安顺市,prefecture-anshun.json,365,0,0
prefecture-anyang,安阳市,prefecture-anyang.json,365,0,0
prefecture-baicheng,白城市,prefecture-baicheng.json,365,0,0
prefecture-baise,百色市,prefecture-baise.json,365,0,0
prefecture-baiyin,白银市,prefecture-baiyin.json,365,0,0
prefecture-baoding,保定市,prefecture-baoding.json,365,0,0
prefecture-baoji,宝鸡市,prefecture-baoji.json,365,0,0
prefecture-baoshan,保山市,prefecture-baoshan.json,365,0,0
prefecture-baotou,包头市,prefecture-baotou.json,365,0,0
prefecture-bayannur,巴彦淖尔市,prefecture-bayannur.json,365,0,0
prefecture-bayingolin-mongol-autonomous-prefecture,巴音郭楞蒙古自治州,prefecture-bayingolin-mongol-autonomous-prefecture_39.4956_87.9791.json,365,0,0
prefecture-bazhong,巴中市,prefecture-bazhong.json,365,0,0
prefecture-beihai,北海市,prefecture-beihai.json,365,0,0
prefecture-beijing,北京市,prefecture-beijing.json,365,0,0
prefecture-bengbu,蚌埠市,prefecture-bengbu_32.9176_117.3826.json,365,0,0
prefecture-benxi,本溪市,prefecture-benxi.json,365,0,0
prefecture-bijie,毕节市,prefecture-bijie.json,365,0,0
prefecture-binzhou,滨州市,prefecture-binzhou.json,365,0,0
prefecture-bortala-mongol-autonomous-prefecture,博尔塔拉蒙古自治州,prefecture-bortala-mongol-autonomous-prefecture_44.9048_82.0630.json,365,0,0
prefecture-bozhou,亳州市,prefecture-bozhou.json,365,0,0
prefecture-cangzhou,沧州市,prefecture-cangzhou.json,365,0,0
prefecture-chamdo,昌都市,prefecture-chamdo_31.1435_97.1712.json,365,0,0
prefecture-changchun,长春市,prefecture-changchun.json,365,0,0
prefecture-changde,常德市,prefecture-changde.json,365,0,0
prefecture-changji-hui-autonomous-prefecture,昌吉回族自治州,prefecture-changji-hui-autonomous-prefecture_44.3478_86.6870.json,365,0,0
prefecture-changsha,长沙市,prefecture-changsha_28.1451_113.2384.json,365,0,0
prefecture-changzhi,长治市,prefecture-changzhi.json,365,0,0
prefecture-changzhou,常州市,prefecture-changzhou.json,365,0,0
prefecture-chaoyang,朝阳市,prefecture-chaoyang.json,365,0,0
prefecture-chaozhou,潮州市,prefecture-chaozhou.json,365,0,0
prefecture-chengde,承德市,prefecture-chengde.json,365,0,0
prefecture-chengdu,成都市,prefecture-chengdu.json,365,0,0
prefecture-chenzhou,郴州市,prefecture-chenzhou.json,365,0,0
prefecture-chifeng,赤峰市,prefecture-chifeng.json,365,0,0
prefecture-chizhou,池州市,prefecture-chizhou.json,365,0,0
prefecture-chongqing,重庆市,prefecture-chongqing.json,365,0,0
prefecture-chongzuo,崇左市,prefecture-chongzuo.json,365,0,0
prefecture-chuxiong-yi-autonomous-prefecture,楚雄彝族自治州,prefecture-chuxiong-yi-autonomous-prefecture.json,365,0,0
prefecture-chuzhou,滁州市,prefecture-chuzhou.json,365,0,0
prefecture-city-jilin-2,松原市,prefecture-city-jilin-2_45.1387_124.8171.json,365,0,0
prefecture-city-jilin,白山市,prefecture-city-jilin_41.9369_126.4184.json,365,0,0
prefecture-dali-bai-autonomous-prefecture,大理白族自治州,prefecture-dali-bai-autonomous-prefecture.json,365,0,0
prefecture-dalian,大连市,prefecture-dalian.json,365,0,0
prefecture-dandong,丹东市,prefecture-dandong.json,365,0,0
prefecture-danzhou,儋州市,prefecture-danzhou.json,365,0,0
prefecture-daqing,大庆市,prefecture-daqing.json,365,0,0
prefecture-datong,大同市,prefecture-datong.json,365,0,0
prefecture-daxinganling-prefecture,大兴安岭地区,prefecture-daxinganling-prefecture_52.3414_124.5619.json,365,0,0
prefecture-dazhou,达州市,prefecture-dazhou.json,365,0,0
prefecture-dehong-dai-and-jingpo-autonomous-prefecture,德宏傣族景颇族自治州,prefecture-dehong-dai-and-jingpo-autonomous-prefecture.json,365,0,0
prefecture-deyang,德阳市,prefecture-deyang.json,365,0,0
prefecture-dezhou,德州市,prefecture-dezhou.json,365,0,0
prefecture-dingxi,定西市,prefecture-dingxi.json,365,0,0
prefecture-diqing-tibetan-autonomous-prefecture,迪庆藏族自治州,prefecture-diqing-tibetan-autonomous-prefecture.json,365,0,0
prefecture-dongguan,东莞市,prefecture-dongguan.json,365,0,0
prefecture-dongying,东营市,prefecture-dongying.json,365,0,0
prefecture-enshi-tujia-and-miao-autonomous-prefecture,恩施土家族苗族自治州,prefecture-enshi-tujia-and-miao-autonomous-prefecture.json,365,0,0
prefecture-ezhou,鄂州市,prefecture-ezhou_30.3925_114.8899.json,365,0,0
prefecture-fangchenggang,防城港市,prefecture-fangchenggang.json,365,0,0
prefecture-foshan,佛山市,prefecture-foshan.json,365,0,0
prefecture-fushun,抚顺市,prefecture-fushun.json,365,0,0
prefecture-fuxin,阜新市,prefecture-fuxin.json,365,0,0
prefecture-fuyang,阜阳市,prefecture-fuyang.json,365,0,0
prefecture-fuzhou-fujian,福州市,prefecture-fuzhou-fujian.json,365,0,0
prefecture-fuzhou-jiangxi,抚州市,prefecture-fuzhou-jiangxi.json,365,0,0
prefecture-gannan-tibetan-autonomous-prefecture,甘南藏族自治州,prefecture-gannan-tibetan-autonomous-prefecture.json,365,0,0
prefecture-ganzhou,赣州市,prefecture-ganzhou.json,365,0,0
prefecture-garze-tibetan-autonomous-prefecture,甘孜藏族自治州,prefecture-garze-tibetan-autonomous-prefecture.json,365,0,0
prefecture-golog-tibetan-autonomous-prefecture,果洛藏族自治州,prefecture-golog-tibetan-autonomous-prefecture.json,365,0,0
prefecture-guangan,广安市,prefecture-guangan.json,365,0,0
prefecture-guangyuan,广元市,prefecture-guangyuan.json,365,0,0
prefecture-guangzhou,广州市,prefecture-guangzhou.json,365,0,0
prefecture-guigang,贵港市,prefecture-guigang.json,365,0,0
prefecture-guilin,桂林市,prefecture-guilin.json,365,0,0
prefecture-guiyang,贵阳市,prefecture-guiyang.json,365,0,0
prefecture-guyuan,固原市,prefecture-guyuan.json,365,0,0
prefecture-haibei-tibetan-autonomous-prefecture,海北藏族自治州,prefecture-haibei-tibetan-autonomous-prefecture.json,365,0,0
prefecture-haidong,海东市,prefecture-haidong.json,365,0,0
prefecture-haikou,海口市,prefecture-haikou.json,365,0,0
prefecture-hainan-tibetan-autonomous-prefecture,海南藏族自治州,prefecture-hainan-tibetan-autonomous-prefecture.json,365,0,0
prefecture-haixi-mongol-and-tibetan-autonomous-prefecture,海西蒙古族藏族自治州,prefecture-haixi-mongol-and-tibetan-autonomous-prefecture.json,365,0,0
prefecture-hami,哈密市,prefecture-hami_42.8255_93.5130.json,365,0,0
prefecture-handan,邯郸市,prefecture-handan.json,365,0,0
prefecture-hangzhou,杭州市,prefecture-hangzhou.json,365,0,0
prefecture-hanzhong,汉中市,prefecture-hanzhong.json,365,0,0
prefecture-harbin,哈尔滨市,prefecture-harbin.json,365,0,0
prefecture-hebi,鹤壁市,prefecture-hebi.json,365,0,0
prefecture-hechi,河池市,prefecture-hechi.json,365,0,0
prefecture-hefei,合肥市,prefecture-hefei_31.8666_117.2814.json,365,0,0
prefecture-hegang,鹤岗市,prefecture-hegang.json,365,0,0
prefecture-heihe,黑河市,prefecture-heihe.json,365,0,0
prefecture-hengshui,衡水市,prefecture-hengshui.json,365,0,0
prefecture-hengyang,衡阳市,prefecture-hengyang.json,365,0,0
prefecture-heyuan,河源市,prefecture-heyuan.json,365,0,0
prefecture-heze,菏泽市,prefecture-heze.json,365,0,0
prefecture-hezhou,贺州市,prefecture-hezhou_24.3705_111.3591.json,365,0,0
prefecture-hinggan-league,兴安盟,prefecture-hinggan-league.json,365,0,0
prefecture-hohhot,呼和浩特市,prefecture-hohhot.json,365,0,0
prefecture-hong-kong,香港,prefecture-hong-kong.json,365,0,0
prefecture-honghe-hani-and-yi-autonomous-prefecture,红河哈尼族彝族自治州,prefecture-honghe-hani-and-yi-autonomous-prefecture.json,365,0,0
prefecture-hotan-prefecture,和田地区,prefecture-hotan-prefecture_37.1110_79.9209.json,365,0,0
prefecture-huaian,淮安市,prefecture-huaian.json,365,0,0
prefecture-huaibei,淮北市,prefecture-huaibei.json,365,0,0
prefecture-huaihua,怀化市,prefecture-huaihua.json,365,0,0
prefecture-huainan,淮南市,prefecture-huainan.json,365,0,0
prefecture-huanggang,黄冈市,prefecture-huanggang.json,365,0,0
prefecture-huangnan-tibetan-autonomous-prefecture,黄南藏族自治州,prefecture-huangnan-tibetan-autonomous-prefecture.json,365,0,0
prefecture-huangshan-city,黄山市,prefecture-huangshan-city.json,365,0,0
prefecture-huangshi,黄石市,prefecture-huangshi.json,365,0,0
prefecture-huizhou,惠州市,prefecture-huizhou.json,365,0,0
prefecture-huludao,葫芦岛市,prefecture-huludao.json,365,0,0
prefecture-hulunbuir,呼伦贝尔市,prefecture-hulunbuir.json,365,0,0
prefecture-huzhou,湖州市,prefecture-huzhou.json,365,0,0
prefecture-ili-kazakh-autonomous-prefecture,伊犁哈萨克自治州,prefecture-ili-kazakh-autonomous-prefecture_43.9138_81.3272.json,365,0,0
prefecture-jiamusi,佳木斯市,prefecture-jiamusi.json,365,0,0
prefecture-jian,吉安市,prefecture-jian.json,365,0,0
prefecture-jiangmen,江门市,prefecture-jiangmen.json,365,0,0
prefecture-jiaozuo,焦作市,prefecture-jiaozuo.json,365,0,0
prefecture-jiaxing,嘉兴市,prefecture-jiaxing.json,365,0,0
prefecture-jiayuguan-city,嘉峪关市,prefecture-jiayuguan-city.json,365,0,0
prefecture-jieyang,揭阳市,prefecture-jieyang.json,365,0,0
prefecture-jilin-city,吉林市,prefecture-jilin-city.json,365,0,0
prefecture-jinan,济南市,prefecture-jinan.json,365,0,0
prefecture-jinchang,金昌市,prefecture-jinchang.json,365,0,0
prefecture-jincheng,晋城市,prefecture-jincheng.json,365,0,0
prefecture-jingdezhen,景德镇市,prefecture-jingdezhen.json,365,0,0
prefecture-jingmen,荆门市,prefecture-jingmen.json,365,0,0
prefecture-jingzhou,荆州市,prefecture-jingzhou.json,365,0,0
prefecture-jinhua,金华市,prefecture-jinhua.json,365,0,0
prefecture-jining,济宁市,prefecture-jining.json,365,0,0
prefecture-jinzhong,晋中市,prefecture-jinzhong.json,365,0,0
prefecture-jinzhou,锦州市,prefecture-jinzhou.json,365,0,0
prefecture-jiujiang,九江市,prefecture-jiujiang.json,365,0,0
prefecture-jiuquan,酒泉市,prefecture-jiuquan.json,365,0,0
prefecture-jixi,鸡西市,prefecture-jixi.json,365,0,0
prefecture-kaifeng,开封市,prefecture-kaifeng.json,365,0,0
prefecture-karamay,克拉玛依市,prefecture-karamay.json,365,0,0
prefecture-kashgar-prefecture,喀什地区,prefecture-kashgar-prefecture_37.8715_77.1916.json,365,0,0
prefecture-kizilsu-kyrgyz-autonomous-prefecture,克孜勒苏柯尔克孜自治州,prefecture-kizilsu-kyrgyz-autonomous-prefecture.json,365,0,0
prefecture-kunming,昆明市,prefecture-kunming_25.0399_102.7169.json,365,0,0
prefecture-laibin,来宾市,prefecture-laibin.json,365,0,0
prefecture-langfang,廊坊市,prefecture-langfang.json,365,0,0
prefecture-lanzhou,兰州市,prefecture-lanzhou.json,365,0,0
prefecture-leshan,乐山市,prefecture-leshan.json,365,0,0
prefecture-lhasa,拉萨市,prefecture-lhasa.json,365,0,0
prefecture-liangshan-yi-autonomous-prefecture,凉山彝族自治州,prefecture-liangshan-yi-autonomous-prefecture.json,365,0,0
prefecture-lianyungang,连云港市,prefecture-lianyungang.json,365,0,0
prefecture-liaocheng,聊城市,prefecture-liaocheng.json,365,0,0
prefecture-liaoyang,辽阳市,prefecture-liaoyang.json,365,0,0
prefecture-liaoyuan,辽源市,prefecture-liaoyuan.json,365,0,0
prefecture-lijiang,丽江市,prefecture-lijiang.json,365,0,0
prefecture-lincang,临沧市,prefecture-lincang.json,365,0,0
prefecture-linfen,临汾市,prefecture-linfen.json,365,0,0
prefecture-linxia-hui-autonomous-prefecture,临夏回族自治州,prefecture-linxia-hui-autonomous-prefecture.json,365,0,0
prefecture-linyi,临沂市,prefecture-linyi.json,365,0,0
prefecture-lishui,丽水市,prefecture-lishui.json,365,0,0
prefecture-liupanshui,六盘水市,prefecture-liupanshui.json,365,0,0
prefecture-liuzhou,柳州市,prefecture-liuzhou.json,365,0,0
prefecture-longnan,陇南市,prefecture-longnan.json,365,0,0
prefecture-longyan,龙岩市,prefecture-longyan.json,365,0,0
prefecture-loudi,娄底市,prefecture-loudi.json,365,0,0
prefecture-luan,六安市,prefecture-luan.json,365,0,0
prefecture-luliang,吕梁市,prefecture-luliang.json,365,0,0
prefecture-luohe,漯河市,prefecture-luohe.json,365,0,0
prefecture-luoyang,洛阳市,prefecture-luoyang.json,365,0,0
prefecture-luzhou,泸州市,prefecture-luzhou.json,365,0,0
prefecture-maanshan,马鞍山市,prefecture-maanshan.json,365,0,0
prefecture-macau,澳门,prefecture-macau.json,365,0,0
prefecture-maoming,茂名市,prefecture-maoming.json,365,0,0
prefecture-meishan,眉山市,prefecture-meishan.json,365,0,0
prefecture-meizhou,梅州市,prefecture-meizhou.json,365,0,0
prefecture-mianyang,绵阳市,prefecture-mianyang.json,365,0,0
prefecture-mudanjiang,牡丹江市,prefecture-mudanjiang.json,365,0,0
prefecture-nagqu,那曲市,prefecture-nagqu.json,365,0,0
prefecture-nanchang,南昌市,prefecture-nanchang_28.6472_116.0348.json,365,0,0
prefecture-nanchong,南充市,prefecture-nanchong.json,365,0,0
prefecture-nanjing,南京市,prefecture-nanjing.json,365,0,0
prefecture-nanning,南宁市,prefecture-nanning.json,365,0,0
prefecture-nanping,南平市,prefecture-nanping.json,365,0,0
prefecture-nantong,南通市,prefecture-nantong.json,365,0,0
prefecture-nanyang,南阳市,prefecture-nanyang.json,365,0,0
prefecture-neijiang,内江市,prefecture-neijiang.json,365,0,0
prefecture-ngari-prefecture,阿里地区,prefecture-ngari-prefecture_33.1046_82.5657.json,365,0,0
prefecture-ngawa-tibetan-and-qiang-autonomous-prefecture,阿坝藏族羌族自治州,prefecture-ngawa-tibetan-and-qiang-autonomous-prefecture.json,365,0,0
prefecture-ningbo,宁波市,prefecture-ningbo.json,365,0,0
prefecture-ningde,宁德市,prefecture-ningde.json,365,0,0
prefecture-nujiang-lisu-autonomous-prefecture,怒江傈僳族自治州,prefecture-nujiang-lisu-autonomous-prefecture.json,365,0,0
prefecture-nyingchi,林芝市,prefecture-nyingchi_29.5488_94.6385.json,365,0,0
prefecture-ordos-city,鄂尔多斯市,prefecture-ordos-city.json,365,0,0
prefecture-panjin,盘锦市,prefecture-panjin.json,365,0,0
prefecture-panzhihua,攀枝花市,prefecture-panzhihua.json,365,0,0
prefecture-pingdingshan,平顶山市,prefecture-pingdingshan.json,365,0,0
prefecture-pingliang,平凉市,prefecture-pingliang.json,365,0,0
prefecture-pingxiang,萍乡市,prefecture-pingxiang.json,365,0,0
prefecture-puer-city,普洱市,prefecture-puer-city.json,365,0,0
prefecture-putian,莆田市,prefecture-putian.json,365,0,0
prefecture-puyang,濮阳市,prefecture-puyang.json,365,0,0
prefecture-qiandongnan-miao-and-dong-autonomous-prefecture,黔东南苗族侗族自治州,prefecture-qiandongnan-miao-and-dong-autonomous-prefecture.json,365,0,0
prefecture-qiannan-buyei-and-miao-autonomous-prefecture,黔南布依族苗族自治州,prefecture-qiannan-buyei-and-miao-autonomous-prefecture.json,365,0,0
prefecture-qianxinan-buyei-and-miao-autonomous-prefecture,黔西南布依族苗族自治州,prefecture-qianxinan-buyei-and-miao-autonomous-prefecture.json,365,0,0
prefecture-qingdao,青岛市,prefecture-qingdao.json,365,0,0
prefecture-qingyang,庆阳市,prefecture-qingyang.json,365,0,0
prefecture-qingyuan,清远市,prefecture-qingyuan.json,365,0,0
prefecture-qinhuangdao,秦皇岛市,prefecture-qinhuangdao.json,365,0,0
prefecture-qinzhou,钦州市,prefecture-qinzhou.json,365,0,0
prefecture-qiqihar,齐齐哈尔市,prefecture-qiqihar.json,365,0,0
prefecture-qitaihe,七台河市,prefecture-qitaihe.json,365,0,0
prefecture-quanzhou,泉州市,prefecture-quanzhou.json,365,0,0
prefecture-qujing,曲靖市,prefecture-qujing_25.7199_103.9861.json,365,0,0
prefecture-quzhou,衢州市,prefecture-quzhou.json,365,0,0
prefecture-rizhao,日照市,prefecture-rizhao.json,365,0,0
prefecture-sanmenxia,三门峡市,prefecture-sanmenxia.json,365,0,0
prefecture-sanming,三明市,prefecture-sanming.json,365,0,0
prefecture-sansha,三沙市,prefecture-sansha.json,365,0,0
prefecture-sanya,三亚市,prefecture-sanya.json,365,0,0
prefecture-shanghai,上海市,prefecture-shanghai.json,365,0,0
prefecture-shangluo,商洛市,prefecture-shangluo.json,365,0,0
prefecture-shangqiu,商丘市,prefecture-shangqiu.json,365,0,0
prefecture-shangrao,上饶市,prefecture-shangrao.json,365,0,0
prefecture-shannan,山南市,prefecture-shannan_28.7628_91.7523.json,365,0,0
prefecture-shantou,汕头市,prefecture-shantou.json,365,0,0
prefecture-shanwei,汕尾市,prefecture-shanwei.json,365,0,0
prefecture-shaoguan,韶关市,prefecture-shaoguan.json,365,0,0
prefecture-shaoxing,绍兴市,prefecture-shaoxing.json,365,0,0
prefecture-shaoyang,邵阳市,prefecture-shaoyang.json,365,0,0
prefecture-shenyang,沈阳市,prefecture-shenyang.json,365,0,0
prefecture-shenzhen,深圳市,prefecture-shenzhen.json,365,0,0
prefecture-shigatse,日喀则市,prefecture-shigatse_29.1058_86.8754.json,365,0,0
prefecture-shijiazhuang,石家庄市,prefecture-shijiazhuang.json,365,0,0
prefecture-shiyan,十堰市,prefecture-shiyan.json,365,0,0
prefecture-shizuishan,石嘴山市,prefecture-shizuishan.json,365,0,0
prefecture-shuangyashan,双鸭山市,prefecture-shuangyashan.json,365,0,0
prefecture-shuozhou,朔州市,prefecture-shuozhou.json,365,0,0
prefecture-siping,四平市,prefecture-siping.json,365,0,0
prefecture-suihua,绥化市,prefecture-suihua.json,365,0,0
prefecture-suining,遂宁市,prefecture-suining.json,365,0,0
prefecture-suizhou,随州市,prefecture-suizhou.json,365,0,0
prefecture-suqian,宿迁市,prefecture-suqian.json,365,0,0
prefecture-suzhou-anhui,宿州市,prefecture-suzhou-anhui.json,365,0,0
prefecture-suzhou-jiangsu,苏州市,prefecture-suzhou-jiangsu.json,365,0,0
prefecture-tacheng-prefecture,塔城地区,prefecture-tacheng-prefecture_45.7492_84.2850.json,365,0,0
prefecture-taian,泰安市,prefecture-taian.json,365,0,0
prefecture-taiyuan,太原市,prefecture-taiyuan.json,365,0,0
prefecture-taizhou-jiangsu,泰州市,prefecture-taizhou-jiangsu.json,365,0,0
prefecture-taizhou-zhejiang,台州市,prefecture-taizhou-zhejiang.json,365,0,0
prefecture-tangshan,唐山市,prefecture-tangshan.json,365,0,0
prefecture-tianjin,天津市,prefecture-tianjin.json,365,0,0
prefecture-tianshui,天水市,prefecture-tianshui.json,365,0,0
prefecture-tieling,铁岭市,prefecture-tieling.json,365,0,0
prefecture-tongchuan,铜川市,prefecture-tongchuan.json,365,0,0
prefecture-tonghua,通化市,prefecture-tonghua.json,365,0,0
prefecture-tongliao,通辽市,prefecture-tongliao.json,365,0,0
prefecture-tongling,铜陵市,prefecture-tongling.json,365,0,0
prefecture-tongren,铜仁市,prefecture-tongren.json,365,0,0
prefecture-turpan,吐鲁番市,prefecture-turpan.json,365,0,0
prefecture-ulanqab,乌兰察布市,prefecture-ulanqab.json,365,0,0
prefecture-urumqi,乌鲁木齐市,prefecture-urumqi.json,365,0,0
prefecture-weifang,潍坊市,prefecture-weifang.json,365,0,0
prefecture-weihai,威海市,prefecture-weihai.json,365,0,0
prefecture-weinan,渭南市,prefecture-weinan.json,365,0,0
prefecture-wenshan-zhuang-and-miao-autonomous-prefecture,文山壮族苗族自治州,prefecture-wenshan-zhuang-and-miao-autonomous-prefecture.json,365,0,0
prefecture-wenzhou,温州市,prefecture-wenzhou.json,365,0,0
prefecture-wuhai,乌海市,prefecture-wuhai.json,365,0,0
prefecture-wuhan,武汉市,prefecture-wuhan.json,365,0,0
prefecture-wuhu,芜湖市,prefecture-wuhu.json,365,0,0
prefecture-wuwei,武威市,prefecture-wuwei.json,365,0,0
prefecture-wuxi,无锡市,prefecture-wuxi.json,365,0,0
prefecture-wuzhong,吴忠市,prefecture-wuzhong.json,365,0,0
prefecture-wuzhou,梧州市,prefecture-wuzhou.json,365,0,0
prefecture-xiamen,厦门市,prefecture-xiamen_24.4801_118.0853.json,365,0,0
prefecture-xian,西安市,prefecture-xian.json,365,0,0
prefecture-xiangtan,湘潭市,prefecture-xiangtan.json,365,0,0
prefecture-xiangxi-tujia-and-miao-autonomous-prefecture,湘西土家族苗族自治州,prefecture-xiangxi-tujia-and-miao-autonomous-prefecture.json,365,0,0
prefecture-xiangyang,襄阳市,prefecture-xiangyang.json,365,0,0
prefecture-xianning,咸宁市,prefecture-xianning_29.8438_114.3169.json,365,0,0
prefecture-xianyang,咸阳市,prefecture-xianyang.json,365,0,0
prefecture-xiaogan,孝感市,prefecture-xiaogan.json,365,0,0
prefecture-xilingol-league,锡林郭勒盟,prefecture-xilingol-league.json,365,0,0
prefecture-xingtai,邢台市,prefecture-xingtai.json,365,0,0
prefecture-xining,西宁市,prefecture-xining.json,365,0,0
prefecture-xinxiang,新乡市,prefecture-xinxiang.json,365,0,0
prefecture-xinyang,信阳市,prefecture-xinyang.json,365,0,0
prefecture-xinyu,新余市,prefecture-xinyu.json,365,0,0
prefecture-xinzhou,忻州市,prefecture-xinzhou.json,365,0,0
prefecture-xishuangbanna-dai-autonomous-prefecture,西双版纳傣族自治州,prefecture-xishuangbanna-dai-autonomous-prefecture.json,365,0,0
prefecture-xuancheng,宣城市,prefecture-xuancheng.json,365,0,0
prefecture-xuchang,许昌市,prefecture-xuchang.json,365,0,0
prefecture-xuzhou,徐州市,prefecture-xuzhou.json,365,0,0
prefecture-yaan,雅安市,prefecture-yaan.json,365,0,0
prefecture-yanan,延安市,prefecture-yanan.json,365,0,0
prefecture-yanbian-korean-autonomous-prefecture,延边朝鲜族自治州,prefecture-yanbian-korean-autonomous-prefecture.json,365,0,0
prefecture-yancheng,盐城市,prefecture-yancheng.json,365,0,0
prefecture-yangjiang,阳江市,prefecture-yangjiang.json,365,0,0
prefecture-yangquan,阳泉市,prefecture-yangquan.json,365,0,0
prefecture-yangzhou,扬州市,prefecture-yangzhou.json,365,0,0
prefecture-yantai,烟台市,prefecture-yantai.json,365,0,0
prefecture-yibin,宜宾市,prefecture-yibin.json,365,0,0
prefecture-yichang,宜昌市,prefecture-yichang.json,365,0,0
prefecture-yichun-heilongjiang,伊春市,prefecture-yichun-heilongjiang.json,365,0,0
prefecture-yichun-jiangxi,宜春市,prefecture-yichun-jiangxi.json,365,0,0
prefecture-yinchuan,银川市,prefecture-yinchuan.json,365,0,0
prefecture-yingkou,营口市,prefecture-yingkou.json,365,0,0
prefecture-yingtan,鹰潭市,prefecture-yingtan.json,365,0,0
prefecture-yiyang,益阳市,prefecture-yiyang.json,365,0,0
prefecture-yongzhou,永州市,prefecture-yongzhou.json,365,0,0
prefecture-yueyang,岳阳市,prefecture-yueyang.json,365,0,0
prefecture-yulin-guangxi,玉林市,prefecture-yulin-guangxi.json,365,0,0
prefecture-yulin-shaanxi,榆林市,prefecture-yulin-shaanxi.json,365,0,0
prefecture-yuncheng,运城市,prefecture-yuncheng.json,365,0,0
prefecture-yunfu,云浮市,prefecture-yunfu.json,365,0,0
prefecture-yushu-tibetan-autonomous-prefecture,玉树藏族自治州,prefecture-yushu-tibetan-autonomous-prefecture.json,365,0,0
prefecture-yuxi,玉溪市,prefecture-yuxi.json,365,0,0
prefecture-zaozhuang,枣庄市,prefecture-zaozhuang.json,365,0,0
prefecture-zhangjiajie,张家界市,prefecture-zhangjiajie.json,365,0,0
prefecture-zhangjiakou,张家口市,prefecture-zhangjiakou.json,365,0,0
prefecture-zhangye,张掖市,prefecture-zhangye.json,365,0,0
prefecture-zhangzhou,漳州市,prefecture-zhangzhou.json,365,0,0
prefecture-zhanjiang,湛江市,prefecture-zhanjiang.json,365,0,0
prefecture-zhaoqing,肇庆市,prefecture-zhaoqing.json,365,0,0
prefecture-zhaotong,昭通市,prefecture-zhaotong.json,365,0,0
prefecture-zhengzhou,郑州市,prefecture-zhengzhou.json,365,0,0
prefecture-zhenjiang,镇江市,prefecture-zhenjiang.json,365,0,0
prefecture-zhongshan,中山市,prefecture-zhongshan.json,365,0,0
prefecture-zhongwei,中卫市,prefecture-zhongwei.json,365,0,0
prefecture-zhoukou,周口市,prefecture-zhoukou.json,365,0,0
prefecture-zhoushan,舟山市,prefecture-zhoushan.json,365,0,0
prefecture-zhuhai,珠海市,prefecture-zhuhai.json,365,0,0
prefecture-zhumadian,驻马店市,prefecture-zhumadian.json,365,0,0
prefecture-zhuzhou,株洲市,prefecture-zhuzhou.json,365,0,0
prefecture-zibo,淄博市,prefecture-zibo.json,365,0,0
prefecture-zigong,自贡市,prefecture-zigong.json,365,0,0
prefecture-ziyang,资阳市,prefecture-ziyang.json,365,0,0
prefecture-zunyi,遵义市,prefecture-zunyi.json,365,0,0
